Datetime,Day,Image filename,Location,Purpose,Cluster
2019-02-05 12:32:05,tuesday,week/img (122).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 12:35:22,tuesday,week/img (123).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 12:38:43,tuesday,week/img (124).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 12:42:44,tuesday,week/img (125).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 12:45:28,tuesday,week/img (126).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 12:50:25,tuesday,week/img (127).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 12:55:23,tuesday,week/img (128).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:01:13,tuesday,week/img (129).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 13:05:51,tuesday,week/img (130).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:10:59,tuesday,week/img (131).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:12:41,tuesday,week/img (132).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 13:16:42,tuesday,week/img (133).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:21:49,tuesday,week/img (134).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:27:02,tuesday,week/img (135).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:31:42,tuesday,week/img (136).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:36:03,tuesday,week/img (137).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:39:57,tuesday,week/img (138).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 13:43:10,tuesday,week/img (139).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 13:45:47,tuesday,week/img (140).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:50:14,tuesday,week/img (141).jpg,CSCI Building,Attending CSCI 515,2.0
2019-02-05 13:58:26,tuesday,week/img (142).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 14:04:04,tuesday,week/img (143).jpg,outside,travel - biking,4.0
2019-02-05 14:06:51,tuesday,week/img (144).jpg,Faraday Hall,Office Hours - CSCI 340,2.0
2019-02-05 14:22:55,tuesday,week/img (145).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 14:28:32,tuesday,week/img (146).jpg,Faraday Hall,Office Hours - CSCI 340,2.0
2019-02-05 14:36:19,tuesday,week/img (147).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 14:51:06,tuesday,week/img (148).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 14:57:21,tuesday,week/img (149).jpg,Faraday Hall,Office Hours - CSCI 340,2.0
2019-02-05 15:02:32,tuesday,week/img (150).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 15:07:22,tuesday,week/img (151).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 15:20:55,tuesday,week/img (152).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 15:26:45,tuesday,week/img (153).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 15:41:38,tuesday,week/img (154).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 15:51:01,tuesday,week/img (155).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 16:02:55,tuesday,week/img (156).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 16:07:21,tuesday,week/img (157).jpg,Faraday Hall,Office Hours - CSCI 340,2.0
2019-02-05 16:13:15,tuesday,week/img (158).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-05 16:15:21,tuesday,week/img (159).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-05 16:18:09,tuesday,week/img (160).jpg,outside,travel - biking,4.0
2019-02-05 16:21:22,tuesday,week/img (161).jpg,outside,travel - biking,2.0
2019-02-05 16:25:49,tuesday,week/img (162).jpg,outside,travel - biking,4.0
2019-02-05 16:28:41,tuesday,week/img (163).jpg,outside,travel - biking,2.0
2019-02-06 14:31:32,wednesday,week/img (164).jpg,outside,travel - biking,4.0
2019-02-06 14:33:51,wednesday,week/img (165).jpg,outside,travel - biking,2.0
2019-02-06 14:38:15,wednesday,week/img (166).jpg,outside,travel - biking,2.0
2019-02-06 14:41:36,wednesday,week/img (167).jpg,outside,travel - biking,4.0
2019-02-06 14:44:58,wednesday,week/img (168).jpg,Founders Memorial Library,study,2.0
2019-02-06 14:46:59,wednesday,week/img (169).jpg,Founders Memorial Library,study,4.0
2019-02-06 14:52:41,wednesday,week/img (170).jpg,Founders Memorial Library,study,3.0
2019-02-06 14:57:13,wednesday,week/img (171).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:02:14,wednesday,week/img (172).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:04:53,wednesday,week/img (173).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:10:26,wednesday,week/img (174).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:14:46,wednesday,week/img (175).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:21:06,wednesday,week/img (176).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:25:25,wednesday,week/img (177).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:29:21,wednesday,week/img (178).jpg,Founders Memorial Library,study,3.0
2019-02-06 15:33:52,wednesday,week/img (179).jpg,Founders Memorial Library,study,3.0
